wavelength,red,green,blue
400.0,0.0286,0.04,0.0458
410.0,0.0259,0.027,0.155
420.0,0.0381,0.0375,0.365
430.0,0.0321,0.0341,0.455
440.0,0.0295,0.0448,0.545
450.0,0.0231,0.0463,0.605
460.0,0.0209,0.0531,0.63
470.0,0.0245,0.159,0.667
480.0,0.033,0.478,0.677
490.0,0.0372,0.719,0.626
500.0,0.0421,0.87,0.524
510.0,0.0534,0.963,0.42
520.0,0.0759,0.996,0.29
530.0,0.0919,1.0,0.207
540.0,0.0765,0.992,0.171
550.0,0.0624,0.959,0.128
560.0,0.0632,0.911,0.0957
570.0,0.0767,0.816,0.0751
580.0,0.334,0.716,0.0696
590.0,0.812,0.582,0.0652
600.0,0.824,0.413,0.0544
610.0,0.765,0.272,0.0455
620.0,0.685,0.186,0.0401
630.0,0.598,0.136,0.0387
640.0,0.478,0.1,0.0383
650.0,0.363,0.0735,0.0368
660.0,0.281,0.0601,0.0358
670.0,0.208,0.0544,0.0327
680.0,0.117,0.0422,0.0226
690.0,0.0388,0.0228,0.0102
700.0,0.0135,0.013,0.00535
