wavelength,red,green,blue
400.0,0.030947,0.037561,0.27139
410.0,0.020803,0.041006,0.35929
420.0,0.01532,0.05126,0.44843
430.0,0.012161,0.068434,0.57582
440.0,0.010524,0.090222,0.68263
450.0,0.0089518,0.11407,0.77689
460.0,0.0092151,0.16832,0.85043
470.0,0.012548,0.25556,0.79244
480.0,0.017491,0.38431,0.76617
490.0,0.01513,0.39832,0.57293
500.0,0.0187,0.51016,0.39291
510.0,0.031169,0.71938,0.24589
520.0,0.057046,0.82527,0.1015
530.0,0.091871,1.0,0.045772
540.0,0.05508,0.91595,0.023081
550.0,0.030477,0.8951,0.012789
560.0,0.029048,0.7358,0.0062062
570.0,0.078283,0.62785,0.0040567
580.0,0.36176,0.44029,0.0030307
590.0,0.62673,0.29459,0.002014
600.0,0.58272,0.1412,0.0013412
610.0,0.50466,0.054981,0.00070417
620.0,0.37192,0.019834,0.00050604
630.0,0.32153,0.011132,0.00042877
640.0,0.23219,0.0063134,0.00040568
650.0,0.18052,0.003865,0.00052631
660.0,0.12025,0.0027007,0.00058264
670.0,0.089647,0.0032505,0.00054454
680.0,0.063347,0.0040784,0.00047424
690.0,0.044492,0.0048058,0.00036424
700.0,0.028755,0.004563,0.00026866
