wavelength,red,green,blue
400.0,0.0018193,0.0019233,0.0057386
410.0,0.0038708,0.0029811,0.019403
420.0,0.026824,0.022997,0.22464
430.0,0.052216,0.066951,0.6404
440.0,0.03984,0.082486,0.71702
450.0,0.032337,0.10762,0.84433
460.0,0.027643,0.15619,0.83336
470.0,0.03134,0.26645,0.84318
480.0,0.03533,0.34468,0.76761
490.0,0.031916,0.38234,0.59667
500.0,0.033112,0.54875,0.40929
510.0,0.04109,0.76082,0.24069
520.0,0.068408,0.90816,0.10002
530.0,0.08229,1.0,0.041642
540.0,0.036978,0.88019,0.018843
550.0,0.020338,0.92098,0.0090361
560.0,0.022651,0.67471,0.0024131
570.0,0.085913,0.56689,0.00141
580.0,0.45174,0.3965,0.00055508
590.0,0.7935,0.27494,0.00042896
600.0,0.69844,0.13136,0.00054569
610.0,0.6309,0.06411,0.00038823
620.0,0.50895,0.03338,0.00038026
630.0,0.41911,0.021899,0.00043686
640.0,0.32336,0.015473,0.0002603
650.0,0.26999,0.012262,0.0005734
660.0,0.17351,0.0090961,0.0008241
670.0,0.069569,0.0052063,0.00050455
680.0,0.014055,0.0016243,0.00015639
690.0,0.00244,0.00045333,6.74e-05
700.0,0.0010628,0.00028898,5.72e-05
