wavelength,red,green,blue
400.0,0.0196,0.0244,0.0451
410.0,0.0183,0.019,0.14
420.0,0.0206,0.0239,0.268
430.0,0.0193,0.0261,0.384
440.0,0.0176,0.034,0.468
450.0,0.0148,0.0573,0.543
460.0,0.0139,0.06,0.587
470.0,0.0158,0.0695,0.615
480.0,0.0214,0.202,0.599
490.0,0.0282,0.495,0.533
500.0,0.0373,0.796,0.425
510.0,0.0472,0.919,0.311
520.0,0.0681,0.986,0.205
530.0,0.0819,1.0,0.143
540.0,0.066,0.968,0.112
550.0,0.0515,0.903,0.0809
560.0,0.05,0.823,0.0597
570.0,0.0658,0.724,0.0479
580.0,0.312,0.619,0.0433
590.0,0.703,0.463,0.0373
600.0,0.711,0.312,0.0294
610.0,0.623,0.176,0.0211
620.0,0.547,0.101,0.0167
630.0,0.432,0.0574,0.0139
640.0,0.311,0.0358,0.0129
650.0,0.239,0.0268,0.0131
660.0,0.172,0.0204,0.0124
670.0,0.105,0.0157,0.0099
680.0,0.0493,0.0115,0.00638
690.0,0.0166,0.0081,0.00408
700.0,0.00879,0.00715,0.00371
