wavelength,red,green,blue
400.0,0.00097089,0.0019946,0.0039847
410.0,0.00134,0.0023647,0.00756
420.0,0.0048558,0.0090914,0.047137
430.0,0.048817,0.11687,0.64213
440.0,0.044511,0.15689,0.80799
450.0,0.035356,0.18795,0.90724
460.0,0.030637,0.2367,0.87403
470.0,0.036642,0.35642,0.89336
480.0,0.041505,0.43339,0.81728
490.0,0.04001,0.49941,0.71421
500.0,0.043407,0.64847,0.52892
510.0,0.056477,0.83476,0.36156
520.0,0.08949,0.94407,0.21874
530.0,0.10403,1.0,0.14699
540.0,0.055194,0.89984,0.09114
550.0,0.032069,0.82235,0.052706
560.0,0.035018,0.66898,0.025948
570.0,0.099778,0.56147,0.01619
580.0,0.47462,0.43028,0.011749
590.0,0.73781,0.31399,0.0083959
600.0,0.68091,0.18273,0.0051847
610.0,0.54974,0.09276,0.0032014
620.0,0.45754,0.055687,0.0027784
630.0,0.37341,0.039461,0.0031136
640.0,0.28683,0.028244,0.004006
650.0,0.20456,0.019985,0.0046745
660.0,0.14802,0.016292,0.004914
670.0,0.086178,0.012224,0.0035581
680.0,0.028748,0.0056229,0.0013669
690.0,0.0062384,0.001666,0.00036175
700.0,0.0016265,0.00055689,0.00012044
