wavelength,red,green,blue
400.0,0.0012373,0.001769,0.0042219
410.0,0.0030106,0.002598,0.014449
420.0,0.011758,0.012201,0.10198
430.0,0.025271,0.048114,0.4902
440.0,0.010475,0.06259,0.56697
450.0,0.0049324,0.10033,0.68024
460.0,0.0037963,0.1265,0.76452
470.0,0.0036845,0.17166,0.77047
480.0,0.005474,0.31169,0.76653
490.0,0.0078774,0.45374,0.63452
500.0,0.01422,0.624,0.48636
510.0,0.033682,0.83267,0.35011
520.0,0.066095,0.87769,0.17535
530.0,0.12261,1.0,0.092933
540.0,0.13197,0.89233,0.051083
550.0,0.10957,0.91122,0.031774
560.0,0.135,0.74353,0.014149
570.0,0.27359,0.67042,0.0096536
580.0,0.43435,0.5035,0.0069416
590.0,0.57273,0.36099,0.0052074
600.0,0.58401,0.20583,0.0031756
610.0,0.55905,0.1099,0.0025481
620.0,0.4565,0.054814,0.0022039
630.0,0.41415,0.038684,0.0024109
640.0,0.31124,0.025423,0.0019002
650.0,0.27841,0.020145,0.0025228
660.0,0.19971,0.015219,0.0028168
670.0,0.11555,0.011671,0.0020036
680.0,0.020638,0.0030243,0.00045075
690.0,0.0060597,0.0012578,0.00018058
700.0,0.0017974,0.00047442,0.00010512
