wavelength,red,green,blue
400.0,0.0047882,0.0063344,0.031083
410.0,0.006503,0.01322,0.094291
420.0,0.014181,0.056945,0.48083
430.0,0.0090063,0.072339,0.67493
440.0,0.0072716,0.10335,0.76173
450.0,0.008399,0.12163,0.82236
460.0,0.012928,0.16863,0.86969
470.0,0.023407,0.33452,0.84873
480.0,0.042132,0.58549,0.82207
490.0,0.06015,0.72721,0.7235
500.0,0.079772,0.82791,0.58539
510.0,0.11068,0.94525,0.46393
520.0,0.1296,0.93856,0.30706
530.0,0.1528,1.0,0.23495
540.0,0.17491,0.91351,0.18321
550.0,0.23995,0.90129,0.1615
560.0,0.27103,0.74393,0.11978
570.0,0.35363,0.68775,0.10939
580.0,0.59207,0.65043,0.11367
590.0,0.56519,0.45765,0.087972
600.0,0.50552,0.29386,0.064425
610.0,0.48372,0.17488,0.047167
620.0,0.40474,0.10517,0.034519
630.0,0.35005,0.076,0.02963
640.0,0.26818,0.053159,0.024397
650.0,0.22628,0.042043,0.023239
660.0,0.17275,0.032367,0.020503
670.0,0.13367,0.029075,0.018144
680.0,0.060161,0.016249,0.009073
690.0,0.012976,0.0045584,0.0022567
700.0,0.0026525,0.0010866,0.00049182
