wavelength,red,green,blue
400.0,0.0,0.0,0.0
410.0,0.0,0.0,0.0
420.0,0.0,0.0,0.1663
430.0,0.0,0.0,0.510985
440.0,0.0,0.0,0.6235
450.0,0.0,0.0,0.72082
460.0,0.0,0.0,0.76818
470.0,0.0,0.0,0.780075
480.0,0.0,0.18561,0.7715
490.0,0.0,0.323985,0.70145
500.0,0.0,0.46377,0.54411
510.0,0.0,0.6127,0.37931
520.0,0.090478,0.72988,0.21545
530.0,0.213035,0.7801,0.1020705
540.0,0.29231,0.76523,0.054971
550.0,0.244035,0.719445,0.016814
560.0,0.26742,0.62701,0.0
570.0,0.459145,0.51511,0.0
580.0,0.77726,0.40309,0.0
590.0,0.98521,0.28442,0.0
600.0,0.97734,0.15818,0.0
610.0,0.955355,0.0777625,0.0
620.0,0.85475,0.038057,0.0
630.0,0.694345,0.0,0.0
640.0,0.54168,0.0,0.0
650.0,0.43733,0.0,0.0
660.0,0.31617,0.0,0.0
670.0,0.21013,0.0,0.0
680.0,0.064216,0.0,0.0
690.0,0.0115095,0.0,0.0
700.0,0.0,0.0,0.0
