wavelength,red,green,blue
400.0,0.00651,0.0059,0.0115
410.0,0.0134,0.0101,0.121
420.0,0.0172,0.0184,0.259
430.0,0.0167,0.0188,0.37
440.0,0.0153,0.0247,0.452
450.0,0.0135,0.0513,0.521
460.0,0.0126,0.0449,0.549
470.0,0.0133,0.0468,0.549
480.0,0.0189,0.177,0.571
490.0,0.0237,0.56,0.499
500.0,0.0305,0.804,0.397
510.0,0.0406,0.934,0.288
520.0,0.0608,0.947,0.177
530.0,0.0763,1.0,0.133
540.0,0.0559,0.954,0.105
550.0,0.0436,0.924,0.0784
560.0,0.0434,0.847,0.0532
570.0,0.0562,0.723,0.0432
580.0,0.385,0.627,0.0406
590.0,0.748,0.471,0.0366
600.0,0.738,0.314,0.0313
610.0,0.646,0.169,0.025
620.0,0.523,0.0876,0.0217
630.0,0.419,0.0529,0.0214
640.0,0.326,0.0384,0.0219
650.0,0.234,0.029,0.0217
660.0,0.179,0.0254,0.0233
670.0,0.119,0.0219,0.0215
680.0,0.0528,0.0187,0.0182
690.0,0.0253,0.0162,0.0158
700.0,0.0209,0.018,0.0184
