wavelength,red,green,blue
400.0,0.0074301,0.041477,0.26332
410.0,0.0075795,0.058,0.42981
420.0,0.0083043,0.072545,0.53966
430.0,0.0098831,0.10017,0.69805
440.0,0.010432,0.1198,0.77811
450.0,0.011028,0.16235,0.95757
460.0,0.01193,0.23092,0.97645
470.0,0.013319,0.36946,1.0
480.0,0.01075,0.45982,0.94768
490.0,0.0071592,0.50908,0.84684
500.0,0.007603,0.69947,0.7179
510.0,0.0095502,0.84752,0.49589
520.0,0.013374,0.99131,0.31392
530.0,0.011634,0.99574,0.17227
540.0,0.010348,0.93826,0.09118
550.0,0.016463,0.88043,0.041019
560.0,0.1081,0.67937,0.014928
570.0,0.39461,0.57855,0.0090299
580.0,0.5796,0.4181,0.0055769
590.0,0.70646,0.29859,0.0046034
600.0,0.65966,0.15914,0.0024248
610.0,0.64128,0.083305,0.0020683
620.0,0.48616,0.039898,0.0016975
630.0,0.40497,0.025915,0.0013351
640.0,0.32996,0.018503,0.0017914
650.0,0.26965,0.012969,0.0012195
660.0,0.19645,0.010731,0.0018138
670.0,0.068429,0.0048377,0.00064544
680.0,0.015261,0.0016101,0.00019937
690.0,0.0062609,0.00095847,0.00010163
700.0,0.002577,0.00056323,6.66e-05
