wavelength,red,green,blue
400.0,0.0036939,0.0040156,0.021702
410.0,0.005789,0.010547,0.097758
420.0,0.011972,0.044575,0.49898
430.0,0.0060098,0.050839,0.65917
440.0,0.0035058,0.070745,0.69625
450.0,0.0030138,0.091766,0.80949
460.0,0.003971,0.12786,0.85447
470.0,0.0069487,0.27033,0.7946
480.0,0.016477,0.57034,0.72031
490.0,0.024973,0.62103,0.621
500.0,0.033583,0.81123,0.52668
510.0,0.052786,0.93334,0.39733
520.0,0.063128,0.87925,0.21916
530.0,0.080597,1.0,0.15569
540.0,0.099936,0.90032,0.10495
550.0,0.15863,0.89821,0.080773
560.0,0.19919,0.75241,0.050105
570.0,0.292,0.71861,0.041103
580.0,0.44402,0.56557,0.033563
590.0,0.5472,0.43987,0.02794
600.0,0.51815,0.27329,0.019429
610.0,0.51012,0.16099,0.014083
620.0,0.40294,0.077993,0.0088883
630.0,0.35347,0.051902,0.0079959
640.0,0.2762,0.034045,0.0075041
650.0,0.23435,0.025987,0.008546
660.0,0.17264,0.018665,0.0082507
670.0,0.13178,0.018169,0.0081155
680.0,0.054995,0.010452,0.003858
690.0,0.0090115,0.002445,0.00074718
700.0,0.0020717,0.00071102,0.00020182
