wavelength,red,green,blue
400.0,0.0028702,0.0038429,0.019794
410.0,0.0041069,0.0084168,0.073244
420.0,0.011116,0.04719,0.50542
430.0,0.0073087,0.059687,0.74601
440.0,0.006094,0.07931,0.76997
450.0,0.0077521,0.101,0.865
460.0,0.011988,0.14369,0.93131
470.0,0.020974,0.29073,0.86648
480.0,0.040081,0.55534,0.82817
490.0,0.057985,0.71604,0.72488
500.0,0.078288,0.83415,0.57322
510.0,0.10762,0.96078,0.44985
520.0,0.12367,0.95231,0.29398
530.0,0.14337,1.0,0.22272
540.0,0.16177,0.90476,0.17535
550.0,0.21597,0.91429,0.15767
560.0,0.24571,0.77717,0.12188
570.0,0.31892,0.69504,0.11012
580.0,0.47163,0.59941,0.10481
590.0,0.5751,0.48003,0.094114
600.0,0.52469,0.30101,0.067215
610.0,0.50401,0.18953,0.050614
620.0,0.41372,0.10826,0.035484
630.0,0.36871,0.079299,0.030552
640.0,0.27449,0.055709,0.02425
650.0,0.24825,0.046082,0.023529
660.0,0.18265,0.03412,0.019692
670.0,0.12534,0.026783,0.015408
680.0,0.038161,0.010069,0.0053095
690.0,0.0071614,0.0023621,0.0011014
700.0,0.0015313,0.00062366,0.00028127
