wavelength,red,green,blue
400.0,0.024961,0.034887,0.24055
410.0,0.021143,0.04937,0.40544
420.0,0.016001,0.064249,0.52555
430.0,0.013401,0.086794,0.67595
440.0,0.010463,0.10102,0.71895
450.0,0.0087063,0.13099,0.82801
460.0,0.0086141,0.18292,0.82871
470.0,0.013979,0.2921,0.7974
480.0,0.016986,0.38557,0.717
490.0,0.015455,0.42725,0.55303
500.0,0.020048,0.55215,0.36349
510.0,0.036633,0.78889,0.21781
520.0,0.074621,0.88258,0.085666
530.0,0.096479,1.0,0.035779
540.0,0.051559,0.9037,0.018275
550.0,0.031727,0.87539,0.01122
560.0,0.035235,0.69789,0.0059166
570.0,0.11061,0.57496,0.0037644
580.0,0.45053,0.38678,0.0033937
590.0,0.67508,0.26582,0.0029309
600.0,0.57488,0.11845,0.0017556
610.0,0.50065,0.048996,0.0010915
620.0,0.37559,0.019448,0.00074624
630.0,0.30117,0.010674,0.00056884
640.0,0.21377,0.0059683,0.00072842
650.0,0.1553,0.0034973,0.00059219
660.0,0.11482,0.0028521,0.00052411
670.0,0.078742,0.0031359,0.00054205
680.0,0.050859,0.0034555,0.00045661
690.0,0.035537,0.0038866,0.00034872
700.0,0.022129,0.0035504,0.0002792
